[254, 'incorrect_immediate_operand', '020000', 1710, 'decode.imm_hi_out']
[255, 'incorrect_immediate_operand', '020000', 1710, 'decode.imm_hi_out']
[256, 'incorrect_immediate_operand', '040000', 1710, 'decode.imm_hi_out']
[257, 'incorrect_immediate_operand', '040000', 1710, 'decode.imm_hi_out']
[258, 'incorrect_immediate_operand', '080000', 1710, 'decode.imm_hi_out']
[259, 'incorrect_immediate_operand', '080000', 1710, 'decode.imm_hi_out']
[260, 'incorrect_immediate_operand', '100000', 1710, 'decode.imm_hi_out']
[261, 'incorrect_immediate_operand', '100000', 1710, 'decode.imm_hi_out']
[262, 'incorrect_immediate_operand', '200000', 1710, 'decode.imm_hi_out']
[267, 'incorrect_immediate_operand', '000100', 1710, 'decode.imm_hi_out']
[268, 'incorrect_immediate_operand', '000200', 1710, 'decode.imm_hi_out']
[269, 'incorrect_immediate_operand', '000400', 1710, 'decode.imm_hi_out']
[270, 'incorrect_immediate_operand', '008000', 1710, 'decode.imm_hi_out']
[271, 'incorrect_immediate_operand', '008000', 1710, 'decode.imm_hi_out']
[314, 'invalid_register', '00000010', 1710, 'decode.dest_out']
[314, 'incorrect_immediate_operand', '000006', 1710, 'decode.imm_hi_out']
[338, 'invalid_register', '00000002', 1710, 'decode.dest_out']
[338, 'incorrect_immediate_operand', '211911', 1710, 'decode.imm_hi_out']
[346, 'invalid_register', '0000004d', 1710, 'decode.dest_out']
[347, 'invalid_register', '00000040', 1710, 'decode.dest_out']
[347, 'incorrect_immediate_operand', '008000', 1710, 'decode.imm_hi_out']
[405, 'incorrect_register_addressed', '001', 1710, 'decode.gprs_base_addr_out']
[406, 'incorrect_register_addressed', '002', 1710, 'decode.gprs_base_addr_out']
[407, 'incorrect_register_addressed', '002', 1710, 'decode.gprs_base_addr_out']
[408, 'incorrect_register_addressed', '004', 1710, 'decode.gprs_base_addr_out']
[409, 'incorrect_register_addressed', '004', 1710, 'decode.gprs_base_addr_out']
[410, 'incorrect_register_addressed', '008', 1710, 'decode.gprs_base_addr_out']
[411, 'incorrect_register_addressed', '008', 1710, 'decode.gprs_base_addr_out']
[412, 'incorrect_register_addressed', '010', 1710, 'decode.gprs_base_addr_out']
[413, 'incorrect_register_addressed', '010', 1710, 'decode.gprs_base_addr_out']
[414, 'incorrect_register_addressed', '020', 1710, 'decode.gprs_base_addr_out']
[415, 'incorrect_register_addressed', '020', 1710, 'decode.gprs_base_addr_out']
[416, 'incorrect_register_addressed', '040', 1710, 'decode.gprs_base_addr_out']
[417, 'incorrect_register_addressed', '080', 1710, 'decode.gprs_base_addr_out']
[418, 'incorrect_register_addressed', '080', 1710, 'decode.gprs_base_addr_out']
[419, 'incorrect_register_addressed', '100', 1710, 'decode.gprs_base_addr_out']
[420, 'incorrect_register_addressed', '100', 1710, 'decode.gprs_base_addr_out']
[421, 'incorrect_parallel_parameters', '001', 1710, 'decode.gprs_size_out']
[422, 'incorrect_parallel_parameters', '001', 1710, 'decode.gprs_size_out']
[423, 'incorrect_parallel_parameters', '002', 1710, 'decode.gprs_size_out']
[424, 'incorrect_parallel_parameters', '002', 1710, 'decode.gprs_size_out']
[425, 'incorrect_parallel_parameters', '004', 1710, 'decode.gprs_size_out']
[426, 'incorrect_parallel_parameters', '004', 1710, 'decode.gprs_size_out']
[427, 'incorrect_parallel_parameters', '008', 1710, 'decode.gprs_size_out']
[428, 'incorrect_parallel_parameters', '010', 1710, 'decode.gprs_size_out']
[429, 'incorrect_parallel_parameters', '020', 1710, 'decode.gprs_size_out']
[430, 'incorrect_parallel_parameters', '020', 1710, 'decode.gprs_size_out']
[431, 'incorrect_parallel_parameters', '040', 1710, 'decode.gprs_size_out']
[432, 'incorrect_parallel_parameters', '040', 1710, 'decode.gprs_size_out']
[433, 'incorrect_parallel_parameters', '080', 1710, 'decode.gprs_size_out']
[434, 'incorrect_parallel_parameters', '080', 1710, 'decode.gprs_size_out']
[435, 'incorrect_parallel_parameters', '100', 1710, 'decode.gprs_size_out']
[436, 'incorrect_parallel_parameters', '0001', 1710, 'decode.shmem_base_addr_out']
[437, 'incorrect_parallel_parameters', '0001', 1710, 'decode.shmem_base_addr_out']
[438, 'incorrect_parallel_parameters', '0002', 1710, 'decode.shmem_base_addr_out']
[439, 'incorrect_parallel_parameters', '0002', 1710, 'decode.shmem_base_addr_out']
[440, 'incorrect_parallel_parameters', '0004', 1710, 'decode.shmem_base_addr_out']
[441, 'incorrect_parallel_parameters', '0004', 1710, 'decode.shmem_base_addr_out']
[442, 'incorrect_parallel_parameters', '0008', 1710, 'decode.shmem_base_addr_out']
[443, 'incorrect_parallel_parameters', '0008', 1710, 'decode.shmem_base_addr_out']
[444, 'incorrect_parallel_parameters', '0010', 1710, 'decode.shmem_base_addr_out']
[445, 'incorrect_parallel_parameters', '0010', 1710, 'decode.shmem_base_addr_out']
[446, 'incorrect_parallel_parameters', '0020', 1710, 'decode.shmem_base_addr_out']
[447, 'incorrect_parallel_parameters', '0020', 1710, 'decode.shmem_base_addr_out']
[448, 'incorrect_parallel_parameters', '0040', 1710, 'decode.shmem_base_addr_out']
[449, 'incorrect_parallel_parameters', '0080', 1710, 'decode.shmem_base_addr_out']
[450, 'incorrect_parallel_parameters', '0080', 1710, 'decode.shmem_base_addr_out']
[451, 'incorrect_parallel_parameters', '0100', 1710, 'decode.shmem_base_addr_out']
[452, 'incorrect_parallel_parameters', '0100', 1710, 'decode.shmem_base_addr_out']
[453, 'incorrect_parallel_parameters', '0200', 1710, 'decode.shmem_base_addr_out']
[454, 'incorrect_parallel_parameters', '0200', 1710, 'decode.shmem_base_addr_out']
[455, 'incorrect_parallel_parameters', '0400', 1710, 'decode.shmem_base_addr_out']
[456, 'incorrect_parallel_parameters', '0400', 1710, 'decode.shmem_base_addr_out']
[457, 'incorrect_parallel_parameters', '0800', 1710, 'decode.shmem_base_addr_out']
[458, 'incorrect_parallel_parameters', '0800', 1710, 'decode.shmem_base_addr_out']
[459, 'incorrect_parallel_parameters', '1000', 1710, 'decode.shmem_base_addr_out']
[460, 'incorrect_parallel_parameters', '1000', 1710, 'decode.shmem_base_addr_out']
[461, 'incorrect_parallel_parameters', '2000', 1710, 'decode.shmem_base_addr_out']
[641, 'invalid_register', '00000001', 34436, 'decode.src3_out']
[642, 'invalid_register', '00000002', 34436, 'decode.src3_out']
[643, 'invalid_register', '00000004', 34436, 'decode.src3_out']
[644, 'invalid_register', '00000008', 34436, 'decode.src3_out']
[645, 'invalid_register', '0000000f', 34436, 'decode.src3_out']
[646, 'invalid_register', '00000001', 34436, 'decode.src2_out']
[647, 'invalid_register', '00000002', 34436, 'decode.src2_out']
[648, 'invalid_register', '00000004', 34436, 'decode.src2_out']
[649, 'invalid_register', '00000008', 34436, 'decode.src2_out']
[650, 'invalid_register', '0000000f', 34436, 'decode.src2_out']
[651, 'invalid_register', '00000020', 34436, 'decode.src2_out']
[652, 'invalid_register', '00000021', 34436, 'decode.src2_out']
[653, 'invalid_register', '00000001', 34436, 'decode.src1_out']
[654, 'invalid_register', '00000001', 34436, 'decode.src1_out']
[655, 'invalid_register', '00000010', 34436, 'decode.src1_out']
[657, 'invalid_register', '00000001', 34436, 'decode.src1_out']
[677, 'incorrect_parallel_parameters', '008', 34436, 'decode.gprs_size_out']
[742, 'invalid_register', '00000001', 34446, 'decode.dest_out']
[743, 'invalid_register', '00000001', 34446, 'decode.dest_out']
[744, 'invalid_register', '00000002', 34446, 'decode.dest_out']
[745, 'invalid_register', '00000004', 34446, 'decode.dest_out']
[746, 'invalid_register', '00000004', 34446, 'decode.dest_out']
[747, 'invalid_register', '00000008', 34446, 'decode.dest_out']
[748, 'invalid_register', '00000010', 34446, 'decode.dest_out']
[749, 'invalid_register', '00000020', 34446, 'decode.dest_out']
[750, 'invalid_register', '00000040', 34446, 'decode.dest_out']
[751, 'invalid_register', '00000001', 34446, 'decode.src3_out']
[752, 'invalid_register', '00000001', 34446, 'decode.src3_out']
[753, 'invalid_register', '0000000f', 34446, 'decode.src3_out']
[754, 'invalid_register', '0000000f', 34446, 'decode.src3_out']
[755, 'invalid_register', '0000000f', 34446, 'decode.src3_out']
[756, 'invalid_register', '0000000f', 34446, 'decode.src2_out']
[757, 'invalid_register', '0000000f', 34446, 'decode.src2_out']
[758, 'invalid_register', '00000021', 34446, 'decode.src2_out']
[759, 'invalid_register', '00000001', 34446, 'decode.src1_out']
[760, 'invalid_register', '00000001', 34446, 'decode.src1_out']
[761, 'invalid_register', '00000001', 34446, 'decode.src1_out']
[762, 'invalid_register', '00000001', 34446, 'decode.src1_out']
[763, 'invalid_register', '00000001', 34446, 'decode.src1_out']
[764, 'invalid_register', '00000001', 34446, 'decode.src1_out']
[765, 'invalid_register', '00000001', 34446, 'decode.src1_out', '00000021', 34446, 'decode.src2_out']
