[122, 'incorrect_parallel_parameters', '0100', 34370, 'warp_unit.shmem_base_addr_out']
[123, 'incorrect_parallel_parameters', '0200', 34370, 'warp_unit.shmem_base_addr_out']
[124, 'incorrect_parallel_parameters', '0400', 34370, 'warp_unit.shmem_base_addr_out']
[125, 'incorrect_parallel_parameters', '0800', 34370, 'warp_unit.shmem_base_addr_out']
[126, 'incorrect_parallel_parameters', '1000', 34370, 'warp_unit.shmem_base_addr_out']
[127, 'incorrect_parallel_parameters', '2000', 34370, 'warp_unit.shmem_base_addr_out']
[204, 'incorrect_parallel_parameters', '01', 34376, 'warp_unit.num_warps_out']
[205, 'incorrect_parallel_parameters', '02', 34376, 'warp_unit.num_warps_out']
[206, 'incorrect_register_addressed', '001', 34376, 'warp_unit.gprs_base_addr_out']
[207, 'incorrect_register_addressed', '002', 34376, 'warp_unit.gprs_base_addr_out']
[208, 'incorrect_register_addressed', '004', 34376, 'warp_unit.gprs_base_addr_out']
[209, 'incorrect_register_addressed', '008', 34376, 'warp_unit.gprs_base_addr_out']
[210, 'incorrect_register_addressed', '010', 34376, 'warp_unit.gprs_base_addr_out']
[211, 'incorrect_register_addressed', '020', 34376, 'warp_unit.gprs_base_addr_out']
[212, 'incorrect_register_addressed', '020', 34376, 'warp_unit.gprs_base_addr_out']
[213, 'incorrect_register_addressed', '040', 34376, 'warp_unit.gprs_base_addr_out']
[214, 'incorrect_register_addressed', '080', 34376, 'warp_unit.gprs_base_addr_out']
[215, 'incorrect_register_addressed', '080', 34376, 'warp_unit.gprs_base_addr_out']
[216, 'incorrect_register_addressed', '100', 34376, 'warp_unit.gprs_base_addr_out']
[217, 'incorrect_register_addressed', '001', 34376, 'warp_unit.gprs_size_out']
[218, 'incorrect_register_addressed', '002', 34376, 'warp_unit.gprs_size_out']
[219, 'incorrect_register_addressed', '002', 34376, 'warp_unit.gprs_size_out']
[220, 'incorrect_register_addressed', '004', 34376, 'warp_unit.gprs_size_out']
[221, 'incorrect_register_addressed', '004', 34376, 'warp_unit.gprs_size_out']
[222, 'incorrect_register_addressed', '008', 34376, 'warp_unit.gprs_size_out']
[223, 'incorrect_register_addressed', '008', 34376, 'warp_unit.gprs_size_out']
[224, 'incorrect_register_addressed', '010', 34376, 'warp_unit.gprs_size_out']
[225, 'incorrect_register_addressed', '010', 34376, 'warp_unit.gprs_size_out']
[226, 'incorrect_register_addressed', '020', 34376, 'warp_unit.gprs_size_out']
[227, 'incorrect_register_addressed', '040', 34376, 'warp_unit.gprs_size_out']
[228, 'incorrect_register_addressed', '040', 34376, 'warp_unit.gprs_size_out']
[229, 'incorrect_register_addressed', '080', 34376, 'warp_unit.gprs_size_out']
[230, 'incorrect_register_addressed', '080', 34376, 'warp_unit.gprs_size_out']
[231, 'incorrect_register_addressed', '100', 34376, 'warp_unit.gprs_size_out']
[232, 'incorrect_parallel_parameters', '0001', 34376, 'warp_unit.shmem_base_addr_out']
[233, 'incorrect_parallel_parameters', '0001', 34376, 'warp_unit.shmem_base_addr_out']
[234, 'incorrect_parallel_parameters', '0002', 34376, 'warp_unit.shmem_base_addr_out']
[235, 'incorrect_parallel_parameters', '0002', 34376, 'warp_unit.shmem_base_addr_out']
[236, 'incorrect_parallel_parameters', '0004', 34376, 'warp_unit.shmem_base_addr_out']
[237, 'incorrect_parallel_parameters', '0008', 34376, 'warp_unit.shmem_base_addr_out']
[238, 'incorrect_parallel_parameters', '0008', 34376, 'warp_unit.shmem_base_addr_out']
[239, 'incorrect_parallel_parameters', '0010', 34376, 'warp_unit.shmem_base_addr_out']
[240, 'incorrect_parallel_parameters', '0010', 34376, 'warp_unit.shmem_base_addr_out']
[241, 'incorrect_parallel_parameters', '0020', 34376, 'warp_unit.shmem_base_addr_out']
[242, 'incorrect_parallel_parameters', '0040', 34376, 'warp_unit.shmem_base_addr_out']
[243, 'incorrect_parallel_parameters', '0040', 34376, 'warp_unit.shmem_base_addr_out']
[244, 'incorrect_parallel_parameters', '0080', 34376, 'warp_unit.shmem_base_addr_out']
[245, 'incorrect_parallel_parameters', '0080', 34376, 'warp_unit.shmem_base_addr_out']
[246, 'incorrect_parallel_parameters', '0100', 34376, 'warp_unit.shmem_base_addr_out']
[247, 'incorrect_parallel_parameters', '0200', 34376, 'warp_unit.shmem_base_addr_out']
[248, 'incorrect_parallel_parameters', '0200', 34376, 'warp_unit.shmem_base_addr_out']
[249, 'incorrect_parallel_parameters', '0400', 34376, 'warp_unit.shmem_base_addr_out']
[250, 'incorrect_parallel_parameters', '0400', 34376, 'warp_unit.shmem_base_addr_out']
[251, 'incorrect_parallel_parameters', '0800', 34376, 'warp_unit.shmem_base_addr_out']
[252, 'incorrect_parallel_parameters', '0800', 34376, 'warp_unit.shmem_base_addr_out']
[253, 'incorrect_parallel_parameters', '1000', 34376, 'warp_unit.shmem_base_addr_out']
[254, 'incorrect_parallel_parameters', '2000', 34376, 'warp_unit.shmem_base_addr_out']
[255, 'incorrect_parallel_parameters', '2000', 34376, 'warp_unit.shmem_base_addr_out']
[308, 'incorrect_register_addressed', '008', 34376, 'warp_unit.gprs_size_out']
[309, 'incorrect_register_addressed', '008', 34376, 'warp_unit.gprs_size_out']
[310, 'incorrect_register_addressed', '008', 34376, 'warp_unit.gprs_size_out']
[311, 'incorrect_register_addressed', '008', 34376, 'warp_unit.gprs_size_out']
[312, 'incorrect_register_addressed', '008', 34376, 'warp_unit.gprs_size_out']
[328, 'incorrect_register_addressed', '0b1', 34376, 'warp_unit.gprs_size_out']
[332, 'incorrect_register_addressed', '04e', 34376, 'warp_unit.gprs_size_out']
[382, 'incorrect_parallel_parameters', '01', 34386, 'warp_unit.num_warps_out']
[383, 'incorrect_register_addressed', '001', 34386, 'warp_unit.gprs_base_addr_out']
[384, 'incorrect_register_addressed', '001', 34386, 'warp_unit.gprs_base_addr_out']
[385, 'incorrect_register_addressed', '001', 34386, 'warp_unit.gprs_base_addr_out']
[386, 'incorrect_register_addressed', '002', 34386, 'warp_unit.gprs_base_addr_out']
[387, 'incorrect_register_addressed', '002', 34386, 'warp_unit.gprs_base_addr_out']
[388, 'incorrect_register_addressed', '002', 34386, 'warp_unit.gprs_base_addr_out']
[389, 'incorrect_register_addressed', '002', 34386, 'warp_unit.gprs_base_addr_out']
[390, 'incorrect_register_addressed', '002', 34386, 'warp_unit.gprs_base_addr_out']
[391, 'incorrect_register_addressed', '004', 34386, 'warp_unit.gprs_base_addr_out']
[392, 'incorrect_register_addressed', '004', 34386, 'warp_unit.gprs_base_addr_out']
[393, 'incorrect_register_addressed', '004', 34386, 'warp_unit.gprs_base_addr_out']
[394, 'incorrect_register_addressed', '004', 34386, 'warp_unit.gprs_base_addr_out']
[395, 'incorrect_register_addressed', '004', 34386, 'warp_unit.gprs_base_addr_out']
[396, 'incorrect_register_addressed', '004', 34386, 'warp_unit.gprs_base_addr_out']
[397, 'incorrect_register_addressed', '004', 34386, 'warp_unit.gprs_base_addr_out']
[398, 'incorrect_register_addressed', '008', 34386, 'warp_unit.gprs_base_addr_out']
[399, 'incorrect_register_addressed', '008', 34386, 'warp_unit.gprs_base_addr_out']
[400, 'incorrect_register_addressed', '008', 34386, 'warp_unit.gprs_base_addr_out']
[401, 'incorrect_register_addressed', '008', 34386, 'warp_unit.gprs_base_addr_out']
[402, 'incorrect_register_addressed', '008', 34386, 'warp_unit.gprs_base_addr_out']
[403, 'incorrect_register_addressed', '008', 34386, 'warp_unit.gprs_base_addr_out']
[404, 'incorrect_register_addressed', '008', 34386, 'warp_unit.gprs_base_addr_out']
[405, 'incorrect_register_addressed', '008', 34386, 'warp_unit.gprs_base_addr_out']
[406, 'incorrect_register_addressed', '008', 34386, 'warp_unit.gprs_base_addr_out']
[407, 'incorrect_register_addressed', '008', 34386, 'warp_unit.gprs_base_addr_out']
[408, 'incorrect_register_addressed', '008', 34386, 'warp_unit.gprs_base_addr_out']
[409, 'incorrect_register_addressed', '008', 34386, 'warp_unit.gprs_base_addr_out']
[410, 'incorrect_register_addressed', '008', 34386, 'warp_unit.gprs_base_addr_out']
[411, 'incorrect_register_addressed', '008', 34386, 'warp_unit.gprs_base_addr_out']
[412, 'incorrect_register_addressed', '008', 34386, 'warp_unit.gprs_base_addr_out']
[413, 'incorrect_register_addressed', '008', 34386, 'warp_unit.gprs_base_addr_out']
[414, 'incorrect_register_addressed', '008', 34386, 'warp_unit.gprs_base_addr_out']
[415, 'incorrect_register_addressed', '010', 34386, 'warp_unit.gprs_base_addr_out']
[416, 'incorrect_register_addressed', '010', 34386, 'warp_unit.gprs_base_addr_out']
[417, 'incorrect_register_addressed', '010', 34386, 'warp_unit.gprs_base_addr_out']
