[34370, '.......8', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '......1.', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '......2.', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '......4.', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '......8.', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '.....1..', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '.....2..', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '.....4..', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '.....8..', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '....1...', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '....2...', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '....4...', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '....8...', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '...1....', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '...2....', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '...4....', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '...8....', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '..1.....', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '..2.....', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '..4.....', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '..8.....', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '.1......', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '.2......', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '.4......', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '.8......', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '1.......', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '2.......', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '4.......', '..', '.', '.', '........', '....', '...', '...', '..']
[34370, '8.......', '..', '.', '.', '........', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '....', '...', '...', '.1']
[34376, '........', '..', '.', '.', '........', '....', '...', '...', '.2']
[34376, '........', '..', '.', '.', '........', '....', '...', '..1', '..']
[34376, '........', '..', '.', '.', '........', '....', '...', '..2', '..']
[34376, '........', '..', '.', '.', '........', '....', '...', '..4', '..']
[34376, '........', '..', '.', '.', '........', '....', '...', '..8', '..']
[34376, '........', '..', '.', '.', '........', '....', '...', '.1.', '..']
[34376, '........', '..', '.', '.', '........', '....', '...', '.2.', '..']
[34376, '........', '..', '.', '.', '........', '....', '...', '.2.', '..']
[34376, '........', '..', '.', '.', '........', '....', '...', '.4.', '..']
[34376, '........', '..', '.', '.', '........', '....', '...', '.8.', '..']
[34376, '........', '..', '.', '.', '........', '....', '...', '.8.', '..']
[34376, '........', '..', '.', '.', '........', '....', '...', '1..', '..']
[34376, '........', '..', '.', '.', '........', '....', '..1', '...', '..']
[34376, '........', '..', '.', '.', '........', '....', '..2', '...', '..']
[34376, '........', '..', '.', '.', '........', '....', '..2', '...', '..']
[34376, '........', '..', '.', '.', '........', '....', '..4', '...', '..']
[34376, '........', '..', '.', '.', '........', '....', '..4', '...', '..']
[34376, '........', '..', '.', '.', '........', '....', '..8', '...', '..']
[34376, '........', '..', '.', '.', '........', '....', '..8', '...', '..']
[34376, '........', '..', '.', '.', '........', '....', '.1.', '...', '..']
[34376, '........', '..', '.', '.', '........', '....', '.1.', '...', '..']
[34376, '........', '..', '.', '.', '........', '....', '.2.', '...', '..']
[34376, '........', '..', '.', '.', '........', '....', '.4.', '...', '..']
[34376, '........', '..', '.', '.', '........', '....', '.4.', '...', '..']
[34376, '........', '..', '.', '.', '........', '....', '.8.', '...', '..']
[34376, '........', '..', '.', '.', '........', '....', '.8.', '...', '..']
[34376, '........', '..', '.', '.', '........', '....', '1..', '...', '..']
[34376, '........', '..', '.', '.', '........', '...1', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '...1', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '...2', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '...2', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '...4', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '...8', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '...8', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '..1.', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '..1.', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '..2.', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '..4.', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '..4.', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '..8.', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '..8.', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '.1..', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '.2..', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '.2..', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '.4..', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '.4..', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '.8..', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '.8..', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '1...', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '2...', '...', '...', '..']
[34376, '........', '..', '.', '.', '........', '2...', '...', '...', '..']
[34376, '........', '..', '.', '.', '.......1', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '.......1', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '.......2', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '.......2', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '.......4', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '.......4', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '.......8', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '.......8', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '......1.', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '......2.', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '......2.', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '......4.', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '......4.', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '......8.', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '......8.', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '.....1..', '....', '...', '...', '..']
[34376, '........', '..', '.', '.', '.....1..', '....', '...', '...', '..']
