0079C 0007664F
007A0 00288425
007A4 0044F8B5
007A8 0011CB78
007AC 00484032
007B0 003C5251
007B4 0006C755
007B8 000905C5
007BC 003EF0AE
007C0 0005ADC5
007C4 000F3A3A
007C8 0007A895
007CC 0026DF7C
007D0 0029C70C
007D4 000BB8A8
007D8 0011EF24
007DC 0040BCC6
007E0 000ABBD6
007E4 00343F1B
007E8 003FE8ED
007EC 003BB26F
007F0 002219AA
007F4 002D5F02
007F8 001EB476
007FC 00456884
00800 000A1E84
00804 002455C3
00808 002718EC
0080C 0048E330
00810 0001FA38
00814 001459E8
00818 0004B83F
0081C 003A2408
00820 00110B91
00824 001826B4
00828 0030C6FA
0082C 0042CDBC
00830 00218422
00834 00491A9D
00838 0011D8DD
0083C 001FAADA
00840 001C4CD9
00844 000C8061
00848 00437586
0084C 000E0266
00850 0049832A
00854 0000FFF2
00858 000959F3
0085C 00475B93
00860 00272C02
00864 0023A82B
00868 0007CCAA
0086C 0013B7DE
00870 0012F055
00874 00126D5E
00878 00195303
0087C 0038B64E
00880 003C38CF
00884 00061738
00888 0021116C
0088C 000F2974
00890 000CA294
00894 00017295
00898 0027FA6F
0089C 00091195
008A0 001C755E
008A4 0014E355
008A8 00465EAF
008AC 001A7C73
008B0 00107A74
008B4 001882A0
008B8 002D2362
008BC 0047AD21
008C0 0046DB85
008C4 00390FEB
008C8 002F455E
008CC 00407692
008D0 00388F6F
008D4 000773F1
008D8 003E76AC
008DC 000BEBA9
008E0 000AB3C7
008E4 0025FFC8
008E8 004370C6
008EC 00195F2C
008F0 000F81E5
008F4 001C80FB
008F8 0034A68D
008FC 0024FE7B
00900 003BE8CA
00904 004A240A
00908 00238DF2
0090C 001D15FC
00910 003D5E60
00914 003D31D0
00918 000DDB35
0091C 0044D479
00920 002C6A80
00924 0018439B
00928 0001FC63
0092C 001F1415
00930 0034569B
00934 0007B3B6
00938 004B90B5
0093C 00490373
00940 00143B73
00944 000CA6DD
00948 000BF964
0094C 001FC7C5
00950 0040E7A6
00954 0034052F
00958 00225068
